AFN,&#x60b;,؋,,
ALL,&#x4c;&#x65;&#x6b;,Lek,,
ANG,&#x192;,ƒ,,
ARS,&#x24;,$,,
AUD,&#x24;,$,,
AWG,&#x192;,ƒ,,
AZN, &#x43c;&#x430;&#x43d;,ман,,
BAM,&#x4b;&#x4d;,KM,,
BBD,&#x24;,$,,
BGN,&#x43b;&#x432;,лв,,
BMD,&#x24;,$,,
BND,&#x24;,$,,
BOB,&#x24;&#x62;,$b,,
BRL,&#x52;&#x24;,R$,,
BSD,&#x24;,$,,
BWP,&#x50;,P,,
BYR,&#x70;&#x2e;,p.,,
BZD,&#x24;,$,,
CAD,&#x24;,$,,
CHF,&#x43;&#x48;&#x46;,CHF,,
CLP,&#x24;,$,,
CNY,&#xa5;,¥,,
COP,&#x24;,$,,
CRC,&#x20a1;,₡,,
CUP,&#x20b1;,₱,,
CZK,&#x4b;&#x10d;,Kč,,
DKK,&#x6b;&#x72;,kr,,
DOP,&#x52;&#x44;&#x24;,RD$,,
EEK,&#x6b;&#x72;,kr,,
EGP,&#xa3;,£,,
EUR,&#x20ac;,€,,
FJD,&#x24;,$,,
FKP,&#xa3;,£,,
GBP,&#xa3;,£,,
GGP,&#xa3;,£,,
GHC,&#xa2;,¢,,
GIP,&#xa3;,£,,
GTQ,&#x51;,Q,,
GYD,&#x24;,$,,
HKD,&#x24;,$,,
HNL,&#x4c;,L,,
HRK,&#x6b;&#x6e;,kn,,
HUF,&#x46;&#x74;,Ft,,
IDR,&#x52;&#x70;,Rp,,
ILS,&#x20aa;,₪,,
IMP,&#xa3;,£,,
IRR,&#xfdfc;,﷼,,
ISK,&#x6b;&#x72;,kr,,
JEP,&#xa3;,£,,
JMD,&#x4a;&#x24;,J$,,
JPY,&#xa5;,¥,,
KGS,&#x43b;&#x432;,лв,,
KHR,&#x17db;,៛,,
KPW,&#x20a9;,₩,,
KRW,&#x20a9;,₩,,
KYD,&#x24;,$,,
KZT,&#x43b;&#x432;,лв,,
LAK,&#x20ad;,₭,,
LBP,&#xa3;,£,,
LKR,&#x20a8;,₨,,
LRD,&#x24;,$,,
LTL,&#x4c;&#x74;,Lt,,
LVL,&#x4c;&#x73;,Ls,,
MKD,&#x434;&#x435;&#x43d;,ден,,
MNT,&#x20ae;,₮,,
MUR,&#x20a8;,₨,,
MXN,&#x24;,$,,
MYR,&#x52;&#x4d;,RM,,
MZN,&#x4d;&#x54;,MT,,
NAD,&#x24;,$,,
NGN,&#x20a6;,₦,,
NIO,&#x43;&#x24;,C$,,
NOK,&#x6b;&#x72;,kr,,
NPR,&#x20a8;,₨,,
NZD,&#x24;,$,,
OMR,&#xfdfc;,﷼,,
PAB,&#x42;&#x2f;&#x2e;,B/.,,
PEN,&#x53;&#x2f;&#x2e;,S/.,,
PHP,&#x20b1;,₱,,
PKR,&#x20a8;,₨,,
PLN,&#x7a;&#x142;,zł,,
PYG,&#x47;&#x73;,Gs,,
QAR,&#xfdfc;,﷼,,
RON,&#x6c;&#x65;&#x69;,lei,,
RSD,&#x414;&#x438;&#x43d;&#x2e;,Дин.,,
RUB,&#x440;&#x443;&#x431;,руб,,
SAR,&#xfdfc;,﷼,,
SBD,&#x24;,$,,
SCR,&#x20a8;,₨,,
SEK,&#x6b;&#x72;,kr,,
SGD,&#x24;,$,,
SHP,&#xa3;,£,,
SOS,&#x53;,S,,
SRD,&#x24;,$,,
SVC,&#x24;,$,,
SYP,&#xa3;,£,,
THB,&#xe3f;,฿,,
TRL,&#x20a4;,₤,,
TTD,&#x54;&#x54;&#x24;,TT$,,
TVD,&#x24;,$,,
TWD,&#x4e;&#x54;&#x24;,NT$,,
UAH,&#x20b4;,₴,,
USD,&#x24;,$,,
UYU,&#x24;&#x55;,$U,,
UZS,&#x43b;&#x432;,лв,,
VEF,&#x42;&#x73;,Bs,,
VND,&#x20ab;,₫,,
XCD,&#x24;,$,,
YER,&#xfdfc;,﷼,,
ZAR,&#x52;,R,,
ZWD,&#x24;,$,,